"devt","status","suit_1","total_rx_pct_1","exp_rx_1","status_1","status_2","status_2_1"
42,"C",1,0.895879483861875,16448.44,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",1,0.646571627248801,18693.35,"O","O","O_O"
42,"O",1,0.63851752230084,21.6,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"O",0,0.740971428571429,301.91,"O","O","O_O"
42,"O",0,0.807115185185185,1327.35,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",1,0.828619885535946,815.76,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0.0484143571807933,2000,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0.981668888888889,4175.1,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",1,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"O",0,0.858190290417438,2619.34,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"O",0,0.871350309160309,2381.33,"O","O","O_O"
42,"C",1,0.82296418315647,4785.39,"O","O","O_O"
42,"C",1,0.7390255,80.51,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",1,0.0140995393571561,12398.36,"O","O","O_O"
42,"C",1,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",1,0.631136326530612,2045.68,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"O",1,0.827451791172642,7099.33,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"O",0,0.970209569230769,10082.66,"O","O","O_O"
42,"O",1,0.728007397260274,4000,"O","O","O_O"
42,"O",1,0.967766893198833,34322.3,"O","O","O_O"
42,"O",0,0.916750833334746,3277.9,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"O",0,0.702172240041793,15000,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",1,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"O",1,0.687810747842601,11791.75,"O","O","O_O"
42,"O",0,0.547873333333333,1501.6,"O","O","O_O"
42,"C",0,0.758542666666667,285.75,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"O",0,0.911392067887681,1610.51,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0.539901071428571,468,"O","O","O_O"
42,"C",0,0.962988095238095,2722.75,"O","O","O_O"
42,"C",1,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"O",1,0.802283418901392,25824.45,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",1,0,0,"C","O","C"
42,"O",1,0.928157535711166,23273.8,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",1,0.0639532101670879,2028.36,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",1,0.76388157635468,1033.98,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",1,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",1,0.618303269932096,9169.92,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",1,0.0687232640371224,104784.36,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"O",1,0.879751904761905,974.79,"O","O","O_O"
42,"O",1,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
42,"O",1,0.576049663477823,455.97,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",0,0.907837199442796,13973.25,"O","O","O_O"
42,"C",1,0.852418329866434,21823.72,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0.893606296296296,1816.47,"O","O","O_O"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",0,0,0,"C","C","C"
42,"C",1,0.854519588448795,10181.07,"O","O","O_O"
42,"O",0,0.931746744186047,65.11,"O","O","O_O"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","O","C"
42,"C",0,0,0,"C","C","C"
