Fiscal Year,Claim Number,Date of Claim,Company Code,Event Date Reported,BI Reserve,BI Paid,BI Collection,PD Reserve,PD Paid,PD Collection,Expense Reserve,Expense Paid,Expense Collection,Incurred Sum,CSH O/C Status Code
1999,980603442,1998-06-16,0003,1998-06-16,0.00,0.00,0.00,0.00,2200.00,0.00,0.00,75.00,0.00,2275.00,C
1999,980603443,1998-06-15,0003,1998-06-16,0.00,0.00,0.00,0.00,469.21,0.00,0.00,0.00,0.00,469.21,C
1999,980603445,1998-06-08,0003,1998-06-17,0.00,0.00,0.00,0.00,866.47,0.00,0.00,191.43,0.00,1057.90,C
1999,980603450,1998-06-05,0003,1998-06-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,519.72,0.00,519.72,C
1999,980603451,1998-06-08,0003,1998-06-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,373.78,0.00,373.78,C
1999,980603452,1998-06-08,0003,1998-06-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,109.23,0.00,109.23,C
1999,980603453,1998-06-10,0003,1998-06-11,0.00,0.00,0.00,0.00,861.00,0.00,0.00,0.00,0.00,861.00,C
1999,980603454,1998-06-10,0003,1998-06-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,719.55,0.00,719.55,C
1999,980603455,1998-06-11,0003,1998-06-15,0.00,0.00,0.00,0.00,3181.56,0.00,0.00,876.90,0.00,4058.46,C
1999,980603456,1998-06-11,0003,1998-06-11,0.00,5000.00,0.00,0.00,2061.45,0.00,0.00,1401.80,0.00,8463.25,C
1999,980603457,1998-06-11,0003,1998-06-15,0.00,0.00,0.00,0.00,225.50,0.00,0.00,229.10,0.00,454.60,C
1999,980603458,1998-06-12,0003,1998-06-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,439.16,0.00,439.16,C
1999,980603459,1998-06-12,0003,1998-06-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,391.18,0.00,391.18,C
1999,980603460,1998-06-12,0003,1998-06-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1869.98,0.00,1869.98,C
1999,980603461,1998-06-13,0003,1998-06-14,0.00,0.00,0.00,0.00,1233.54,0.00,0.00,458.61,0.00,1692.15,C
1999,980603462,1998-06-15,0003,1998-06-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,690.16,0.00,690.16,C
1999,980603463,1998-06-16,0003,1998-06-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,313.44,0.00,313.44,C
1999,980603464,1998-06-15,0003,1998-06-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,336.11,0.00,336.11,C
1999,980603466,1998-06-05,0003,1998-06-17,0.00,0.00,0.00,0.00,1869.30,0.00,0.00,469.80,0.00,2339.10,C
1999,980603467,1998-06-16,0003,1998-06-17,0.00,0.00,0.00,0.00,398.68,0.00,0.00,0.00,0.00,398.68,C
1999,980603476,1998-06-17,0003,1998-06-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603479,1998-06-17,0003,1998-06-17,0.00,0.00,0.00,0.00,1940.41,0.00,0.00,146.50,0.00,2086.91,C
1999,980603481,1998-06-16,0003,1998-06-18,0.00,0.00,0.00,0.00,2712.10,0.00,0.00,770.83,0.00,3482.93,C
1999,980603493,1998-06-04,0003,1998-06-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603494,1998-06-09,0003,1998-06-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603495,1998-06-11,0003,1998-06-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603496,1998-06-11,0003,1998-06-15,0.00,0.00,0.00,0.00,980.62,0.00,0.00,0.00,0.00,980.62,C
1999,980603497,1998-06-12,0003,1998-06-16,0.00,0.00,0.00,0.00,1880.54,0.00,0.00,81.80,0.00,1962.34,C
1999,980603498,1998-06-12,0003,1998-06-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603499,1998-06-12,0003,1998-06-15,0.00,0.00,0.00,0.00,786.17,0.00,0.00,0.00,0.00,786.17,C
1999,980603500,1998-06-12,0003,1998-06-15,0.00,0.00,0.00,0.00,352.81,0.00,0.00,0.00,0.00,352.81,C
1999,980603501,1998-06-12,0003,1998-06-15,0.00,0.00,0.00,0.00,771.29,0.00,0.00,0.00,0.00,771.29,C
1999,980603502,1998-06-12,0003,1998-06-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603503,1998-06-12,0003,1998-06-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,508.68,0.00,508.68,C
1999,980603504,1998-06-15,0003,1998-06-16,0.00,0.00,0.00,0.00,990.26,0.00,0.00,0.00,0.00,990.26,C
1999,980603505,1998-06-17,0003,1998-06-18,0.00,0.00,0.00,0.00,706.55,0.00,0.00,844.31,0.00,1550.86,C
1999,980603506,1998-06-17,0003,1998-06-18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
1999,980603507,1998-06-17,0003,1998-06-18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,226.08,0.00,226.08,C
1999,980603509,1998-06-12,0003,1998-06-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,374.38,0.00,374.38,C
1999,980603510,1998-06-12,0003,1998-06-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,C
